loc x,lox y,split,wid,vddiddq,power,freq,psro,pw40,ps40,ivd0,ivd1,ivd2,ivd3,ivio,ivsb,ivsr,frq00,frq0,frq6,frq9,frq12,frq15,frq18,frq21,frq24,frq27,frq30,frq33,frq36,frw39,frq57,frq58,tstclass
3,4,5,3,5.508618355,32.11316681,1.20187796,8.320312321,,,4.45727396,3.867313862,4.170979977,3.655134678,0.543909848,0.023611311,6.085510254,8.556834729,7.970403814,8.283703494,8.387702394,8.397220626,8.74285314,8.266693826,8.266693826,8.344016294,8.486552559,8.132239799,8.207575931,8.124671325,8.292190316,12.76167839,23.08362576,1
2,5,3,4,4.329508781,27.80186653,1.111317768,8.99832639,52.22818756,9.447545177,2.988227129,2.372208834,2.724623919,2.251359224,0.429039776,0.020196678,8.904210091,9.207190871,8.876796173,8.977098958,9.102563482,9.037555302,9.462852432,8.838927755,8.950006858,9.07513386,9.188245301,8.71265739,8.802479258,8.814761955,8.851111247,15.38908384,25.22300986,2
9,3,5,3,6.038728237,35.79455185,1.229291746,8.134765431,,,5.320561886,3.822152615,5.417430401,4.10070467,0.609771311,0.023878817,6.2917099,8.292190316,7.963786942,7.827322747,8.466762907,8.1659133,8.74285314,8.076869563,8.017446845,8.132239799,8.422434462,7.853191676,8.132239799,7.734061924,7.977359871,12.22266516,23.08362576,1
8,2,3,4,3.751200676,23.15994835,1.097366763,9.112723597,44.80345154,9.620536139,2.401130915,2.002043963,2.065899134,1.879809618,0.375790417,0.020322563,7.499616146,9.154577896,8.900284158,8.937138347,9.391707891,9.222381024,9.53601878,9.000287108,9.051136544,9.121369942,9.330244524,8.838927755,9.07513386,8.815862088,9.11698271,15.42023563,26.8466182,2
7,2,5,3,5.275133133,30.58470917,1.198061216,8.346818896,,,4.000783444,3.289847851,4.437950611,3.525599003,0.556490481,0.021754505,5.84685564,8.476461261,8.224082364,8.132239799,8.613178181,8.378567131,8.863732575,8.257995845,8.257995845,8.344016294,8.521548992,8.098841747,8.309749219,8.057938956,8.266693826,12.65876244,23.85981333,1
7,3,5,9,7.009136677,40.57769394,1.19886264,8.341239158,88.16474152,8.836495771,5.945895672,4.855385304,5.519774914,4.907092571,0.64974767,0.027112488,6.963558197,8.592414204,8.132239799,8.207575931,8.60259307,8.353255751,8.977098958,8.300782994,8.173730066,8.353255751,8.613178181,8.050508484,8.224082364,8.017446845,8.124671325,12.86670926,23.59248259,1
11,5,5,5,6.470199108,38.69264221,1.22971355,8.131975128,84.80979157,8.652343599,5.606100559,4.762104511,5.330192089,4.85176611,0.625876725,0.025743488,6.550639629,8.215646531,7.88571073,7.977359871,8.378567131,8.207575931,8.718425747,8.057938956,8.065718035,8.173730066,8.353255751,7.891877573,8.065718035,7.782789794,8.010255797,12.91976727,21.71346819,1
5,3,5,1,7.033613205,41.52520371,1.24943363,8.003626408,80.47198486,9.18526713,5.597949505,5.21563673,5.599145412,5.748413563,0.647033274,0.02523208,6.883400917,8.283703494,7.930946438,7.930946438,8.106869672,7.937671384,8.431847945,7.977359871,7.970403814,8.050508484,8.148443627,7.820940866,7.88571073,7.776947172,7.776947172,12.35973679,22.21063977,1
8,5,5,9,6.425706863,37.50285339,1.162127062,8.604911055,80.83763886,9.104352688,5.170727253,4.387879849,4.998673916,4.627501965,0.590424359,0.024681334,6.874549866,8.900284158,8.501967727,8.613178181,8.814761955,8.613178181,9.11698271,8.486552559,8.46242888,8.671042423,8.876796173,8.292190316,8.431847945,8.292190316,8.344016294,13.41079806,26.52764715,1
3,4,3,2,2.741303682,16.645895,0.9991637,10.00837,27.44538689,10.56780184,1.364876866,1.315939069,1.437166333,1.325065732,0.295507222,0.01727772,5.814212322,10.31208331,9.930153595,9.930153595,10.18155041,10.05662293,10.59297588,9.88920425,9.869232258,10.07579351,10.25126727,9.768604144,9.788171553,9.571966814,9.809054689,16.484105,1387.490756,2
